date,open,high,low,close,volume
03-01-2005,2.2421,2.2665,2.2052,2.2207,208930000
04-01-2005,2.1259,2.1578,2.07,2.1019,388370000
05-01-2005,2.0735,2.1329,2.073,2.0835,167084000
06-01-2005,2.0855,2.1074,2.0401,2.0476,174018000
07-01-2005,2.0615,2.1294,2.0531,2.1109,196732000
10-01-2005,2.0974,2.1428,2.0805,2.087,146958000
11-01-2005,2.065,2.1029,2.0456,2.077,158406000
12-01-2005,2.0695,2.1189,2.0361,2.1099,161446000
13-01-2005,2.1174,2.2236,2.1119,2.1249,347872000
14-01-2005,2.1398,2.2276,2.1129,2.2221,250660000
18-01-2005,2.2067,2.2446,2.2022,2.2236,142632000
19-01-2005,2.2167,2.2316,2.1663,2.1927,147934000
20-01-2005,2.0795,2.1289,2.077,2.1129,256612000
21-01-2005,2.093,2.1224,2.0461,2.0531,212054000
24-01-2005,2.061,2.0925,2.0107,2.0141,193918000
25-01-2005,2.0251,2.067,2.0176,2.0421,180558000
26-01-2005,2.0541,2.085,2.0082,2.062,154298000
27-01-2005,2.0585,2.1149,2.0521,2.1104,160768000
28-01-2005,2.0994,2.1448,2.0715,2.1059,123048000
31-01-2005,2.1209,2.1658,2.1164,2.1558,126406000
01-02-2005,2.1448,2.1583,2.1139,2.1189,135230000
02-02-2005,2.1473,2.1743,2.0381,2.089,526472000
03-02-2005,1.7408,1.7902,1.7224,1.7832,1210372000
04-02-2005,1.7782,1.7947,1.7553,1.7817,346094000
07-02-2005,1.7862,1.7877,1.7732,1.7802,142248000
08-02-2005,1.7727,1.8216,1.7722,1.8106,192050000
09-02-2005,1.8181,1.8356,1.7892,1.7902,158776000
10-02-2005,1.7992,1.8012,1.7722,1.7847,159648000
11-02-2005,1.7742,1.7932,1.7458,1.7847,156834000
14-02-2005,1.8036,1.8271,1.7707,1.7972,139662000
15-02-2005,1.8061,1.8181,1.7832,1.8027,103554000
16-02-2005,1.7922,1.8131,1.7747,1.7787,104596000
17-02-2005,1.7827,1.7882,1.7583,1.7802,105962000
18-02-2005,1.7742,1.7832,1.7508,1.7613,90594000
22-02-2005,1.7468,1.7652,1.7214,1.7318,137114000
23-02-2005,1.7433,1.7443,1.656,1.7029,210008000
24-02-2005,1.6824,1.7383,1.679,1.7303,167784000
25-02-2005,1.7318,1.7573,1.7199,1.7453,117646000
28-02-2005,1.7298,1.7787,1.7291,1.7548,168458000
01-03-2005,1.7488,1.7662,1.7368,1.7652,116380000
02-03-2005,1.7652,1.7922,1.7493,1.7707,97434000
03-03-2005,1.7737,1.7937,1.7657,1.7782,100512000
04-03-2005,1.7877,1.8111,1.7807,1.7882,110914000
07-03-2005,1.7927,1.8156,1.7862,1.8116,71718000
08-03-2005,1.8111,1.8171,1.7832,1.7872,95858000
09-03-2005,1.7857,1.8206,1.7408,1.7657,148246000
10-03-2005,1.7613,1.7812,1.7243,1.7413,117446000
11-03-2005,1.7363,1.7393,1.6984,1.7333,160206000
14-03-2005,1.7293,1.7333,1.6959,1.7258,108670000
15-03-2005,1.7248,1.7383,1.6909,1.7049,101412000
16-03-2005,1.6899,1.7179,1.676,1.6894,107400000
17-03-2005,1.675,1.7179,1.675,1.6944,97160000
18-03-2005,1.7034,1.7099,1.6785,1.7039,105894000
21-03-2005,1.7064,1.7273,1.673,1.6795,121688000
22-03-2005,1.681,1.6929,1.6495,1.6535,109814000
23-03-2005,1.6505,1.6879,1.6371,1.655,126474000
24-03-2005,1.666,1.6899,1.6396,1.64,106746000
28-03-2005,1.651,1.6785,1.647,1.6655,86532000
29-03-2005,1.66,1.7034,1.6575,1.6675,122746000
30-03-2005,1.6755,1.7219,1.6715,1.7119,106996000
31-03-2005,1.7204,1.7233,1.6959,1.7094,71086000
01-04-2005,1.7273,1.7313,1.6849,1.6964,100368000
04-04-2005,1.6959,1.7548,1.6864,1.7458,146844000
05-04-2005,1.7573,1.7628,1.7453,1.7598,98660000
06-04-2005,1.7508,1.7558,1.7268,1.7368,105522000
07-04-2005,1.7298,1.7418,1.7209,1.7408,76146000
08-04-2005,1.7333,1.7423,1.7243,1.7258,60260000
11-04-2005,1.7258,1.7458,1.7139,1.7258,65062000
12-04-2005,1.7159,1.7278,1.679,1.7273,123944000
13-04-2005,1.7134,1.7313,1.7034,1.7109,82502000
14-04-2005,1.7089,1.7209,1.6899,1.6944,83568000
15-04-2005,1.6939,1.6959,1.647,1.647,119700000
18-04-2005,1.641,1.675,1.6381,1.646,138340000
19-04-2005,1.655,1.6645,1.5967,1.6351,132388000
20-04-2005,1.651,1.6839,1.641,1.6585,184310000
21-04-2005,1.671,1.6904,1.6405,1.6795,153894000
22-04-2005,1.6705,1.6775,1.6415,1.648,127840000
25-04-2005,1.6525,1.6755,1.6485,1.6725,84908000
26-04-2005,1.662,1.6949,1.6251,1.6316,279386000
27-04-2005,1.5383,1.5832,1.5263,1.5822,586258000
28-04-2005,1.5792,1.642,1.5777,1.6221,289456000
29-04-2005,1.6391,1.6405,1.5722,1.6141,210470000
02-05-2005,1.6111,1.66,1.6011,1.651,181960000
03-05-2005,1.643,1.674,1.6405,1.6565,135558000
04-05-2005,1.6635,1.7019,1.6595,1.6939,155132000
05-05-2005,1.6939,1.7049,1.6755,1.6939,92338000
06-05-2005,1.7079,1.7303,1.7029,1.7219,134270000
09-05-2005,1.7159,1.7358,1.7084,1.7278,88632000
10-05-2005,1.7159,1.7194,1.6969,1.7074,109500000
11-05-2005,1.7109,1.7214,1.6785,1.6869,120960000
12-05-2005,1.681,1.7019,1.6735,1.6884,120100000
13-05-2005,1.6954,1.7134,1.6859,1.6909,79836000
16-05-2005,1.6974,1.7343,1.6919,1.7229,85614000
17-05-2005,1.7184,1.7368,1.7004,1.7323,66314000
18-05-2005,1.7363,1.7942,1.7323,1.7623,191150000
19-05-2005,1.7643,1.7912,1.7623,1.7752,106870000
20-05-2005,1.7682,1.7757,1.7438,1.7707,100856000
23-05-2005,1.7742,1.7967,1.7652,1.7797,114028000
24-05-2005,1.7697,1.7742,1.7523,1.7727,118292000
25-05-2005,1.7593,1.7682,1.7553,1.7583,77458000
26-05-2005,1.7598,1.7797,1.7543,1.7682,95742000
27-05-2005,1.7568,1.7732,1.7533,1.7707,65742000
31-05-2005,1.7638,1.7977,1.7603,1.7712,98604000
01-06-2005,1.7742,1.8451,1.7677,1.8206,206404000
02-06-2005,1.8121,1.8411,1.8061,1.8161,95366000
03-06-2005,1.8186,1.8206,1.7618,1.7752,96718000
06-06-2005,1.7727,1.7967,1.7697,1.7842,77630000
07-06-2005,1.7912,1.8057,1.7603,1.7633,97696000
08-06-2005,1.7657,1.7697,1.7358,1.7373,106282000
09-06-2005,1.7423,1.7598,1.7159,1.7558,77450000
10-06-2005,1.7583,1.7603,1.7194,1.7433,69350000
13-06-2005,1.7293,1.7662,1.7283,1.7393,78240000
14-06-2005,1.7368,1.7543,1.7353,1.7478,72688000
15-06-2005,1.7628,1.7662,1.7219,1.7578,103036000
16-06-2005,1.7558,1.7862,1.7538,1.7747,84110000
17-06-2005,1.7902,1.7992,1.7538,1.7613,96522000
20-06-2005,1.7483,1.7942,1.7478,1.7802,101946000
21-06-2005,1.7757,1.7862,1.7598,1.7647,89142000
22-06-2005,1.7707,1.7882,1.7528,1.7568,50146000
23-06-2005,1.7528,1.7737,1.7508,1.7672,106044000
24-06-2005,1.7608,1.7677,1.7398,1.7468,73510000
27-06-2005,1.7413,1.7483,1.7044,1.7209,91126000
28-06-2005,1.7258,1.7273,1.6755,1.6815,140686000
29-06-2005,1.681,1.6994,1.6595,1.6635,96266000
30-06-2005,1.6695,1.674,1.6425,1.6505,114314000
01-07-2005,1.658,1.6595,1.6356,1.6415,58654000
05-07-2005,1.671,1.7199,1.6685,1.6999,147676000
06-07-2005,1.6964,1.7159,1.6889,1.6989,87944000
07-07-2005,1.6859,1.7214,1.6859,1.6939,84858000
08-07-2005,1.7014,1.7333,1.6884,1.7328,85140000
11-07-2005,1.7318,1.7797,1.7258,1.7752,103320000
12-07-2005,1.7702,1.8226,1.7687,1.8111,117544000
13-07-2005,1.8091,1.8231,1.8052,1.8211,64036000
14-07-2005,1.855,1.8665,1.8396,1.855,117266000
15-07-2005,1.863,1.8705,1.8331,1.853,104180000
18-07-2005,1.8431,1.855,1.8336,1.855,59466000
19-07-2005,1.8645,1.9039,1.8301,1.9039,116812000
20-07-2005,1.87,1.9079,1.8605,1.9039,127368000
21-07-2005,1.9433,1.9827,1.8835,1.8929,221112000
22-07-2005,1.8899,1.9069,1.8575,1.8929,117422000
25-07-2005,1.8954,1.9473,1.888,1.8929,109400000
26-07-2005,1.9064,1.9328,1.8815,1.8825,295646000
27-07-2005,2.0955,2.1817,2.087,2.1773,921512000
28-07-2005,2.1718,2.285,2.1633,2.2785,502830000
29-07-2005,2.2601,2.282,2.2251,2.2521,209836000
01-08-2005,2.2386,2.2541,2.2122,2.2411,142544000
02-08-2005,2.2396,2.3429,2.2386,2.3199,216728000
03-08-2005,2.295,2.3035,2.2865,2.3,96650000
04-08-2005,2.272,2.283,2.2655,2.2675,99544000
05-08-2005,2.2571,2.28,2.2531,2.2581,99030000
08-08-2005,2.2606,2.2895,2.2576,2.2775,89098000
09-08-2005,2.2825,2.3164,2.282,2.291,91824000
10-08-2005,2.264,2.273,2.2241,2.2326,198424000
11-08-2005,2.2256,2.2551,2.2197,2.2551,116844000
12-08-2005,2.2261,2.2805,2.1972,2.2047,129482000
15-08-2005,2.1912,2.2621,2.1887,2.2466,110502000
16-08-2005,2.2396,2.2416,2.2047,2.2082,72502000
17-08-2005,2.2042,2.2162,2.2007,2.2007,61008000
18-08-2005,2.1887,2.1897,2.1703,2.1812,72086000
19-08-2005,2.1748,2.1832,2.1613,2.1807,66478000
22-08-2005,2.1753,2.2082,2.1418,2.1832,107482000
23-08-2005,2.1817,2.1932,2.1558,2.1658,70354000
24-08-2005,2.1608,2.1608,2.1084,2.1134,117438000
25-08-2005,2.1219,2.1349,2.0989,2.1104,61844000
26-08-2005,2.1099,2.1264,2.1079,2.1134,57214000
29-08-2005,2.0905,2.1448,2.0905,2.1344,73078000
30-08-2005,2.1144,2.1304,2.093,2.1194,77484000
31-08-2005,2.1169,2.1354,2.0969,2.1299,67384000
01-09-2005,2.1209,2.1433,2.0825,2.087,88580000
02-09-2005,2.095,2.0974,2.0471,2.0705,80542000
06-09-2005,2.0725,2.1773,2.0705,2.1758,158796000
07-09-2005,2.1698,2.2097,2.1673,2.1812,122830000
08-09-2005,2.1673,2.1693,2.1364,2.1428,77684000
09-09-2005,2.1443,2.1548,2.1354,2.1423,65774000
12-09-2005,2.1309,2.2426,2.1294,2.2197,175588000
13-09-2005,2.2032,2.2137,2.1668,2.1912,90104000
14-09-2005,2.1887,2.2311,2.1359,2.1498,126360000
