date,open,high,low,close,volume
03-01-2005,1.7829,1.8,1.6457,1.7029,11334400
04-01-2005,1.7029,1.7071,1.6071,1.6657,17352300
05-01-2005,1.6771,1.6771,1.5843,1.6,12732300
06-01-2005,1.6,1.6243,1.5729,1.5786,8273300
07-01-2005,1.5871,1.65,1.5714,1.5886,7490700
10-01-2005,1.5857,1.6771,1.5857,1.61,9934400
11-01-2005,1.6286,1.6343,1.5729,1.5729,7842100
12-01-2005,1.5986,1.6143,1.5043,1.5357,12446000
13-01-2005,1.5643,1.5786,1.5343,1.5514,9585800
14-01-2005,1.5914,1.6343,1.54,1.6186,14502600
18-01-2005,1.6343,1.6386,1.5629,1.6143,10386600
19-01-2005,1.6229,1.6229,1.56,1.5814,12251400
20-01-2005,1.5886,1.6044,1.56,1.5843,7653800
21-01-2005,1.5729,1.6057,1.57,1.5771,4435200
24-01-2005,1.5729,1.6229,1.5486,1.5914,21711900
25-01-2005,1.8116,1.8743,1.6129,1.6186,66851400
26-01-2005,1.5857,1.6414,1.5386,1.5757,18442200
27-01-2005,1.5671,1.63,1.5586,1.6014,6914600
28-01-2005,1.6029,1.6714,1.59,1.6343,9362500
31-01-2005,1.62,1.6543,1.6071,1.6429,6279000
01-02-2005,1.6314,1.6643,1.6271,1.64,4743900
02-02-2005,1.6314,1.65,1.6,1.6029,4760000
03-02-2005,1.6214,1.7129,1.62,1.7,18613000
04-02-2005,1.7057,1.7429,1.6743,1.7171,7170800
07-02-2005,1.7043,1.7271,1.6471,1.6471,7556500
08-02-2005,1.6443,1.68,1.63,1.6429,6540800
09-02-2005,1.65,1.66,1.5914,1.6386,5453700
10-02-2005,1.6343,1.6571,1.6071,1.6186,6314000
11-02-2005,1.6186,1.6271,1.5829,1.5929,8241800
14-02-2005,1.5914,1.6214,1.5871,1.5943,4473000
15-02-2005,1.6071,1.6429,1.5843,1.6071,7910000
16-02-2005,1.5957,1.6057,1.5514,1.5643,5604900
17-02-2005,1.5829,1.5829,1.4914,1.5,8947400
18-02-2005,1.5,1.5357,1.49,1.5243,9433200
22-02-2005,1.5143,1.5357,1.45,1.4586,6493900
23-02-2005,1.4671,1.4829,1.4443,1.4557,4457600
24-02-2005,1.45,1.4957,1.43,1.4857,5311600
25-02-2005,1.5271,1.5829,1.5214,1.57,29469300
28-02-2005,1.5829,1.5857,1.5,1.5286,6608000
01-03-2005,1.5286,1.5643,1.5157,1.5414,4452000
02-03-2005,1.5429,1.5786,1.5143,1.5257,14411600
03-03-2005,1.5271,1.5557,1.5,1.5086,7331800
04-03-2005,1.5143,1.5443,1.5,1.5286,5499900
07-03-2005,1.5271,1.5457,1.5,1.5129,4238500
08-03-2005,1.5114,1.5171,1.4371,1.4457,7678300
09-03-2005,1.4429,1.4629,1.3886,1.43,9721600
10-03-2005,1.4243,1.4427,1.4086,1.4129,5153400
11-03-2005,1.4271,1.4284,1.3386,1.3471,9550100
14-03-2005,1.3457,1.3929,1.3429,1.3571,6190800
15-03-2005,1.3529,1.3743,1.3029,1.3143,10535700
16-03-2005,1.3014,1.3314,1.3,1.31,7260400
17-03-2005,1.3171,1.32,1.3071,1.3143,4554900
18-03-2005,1.3214,1.3214,1.3071,1.3143,6983200
21-03-2005,1.3214,1.3571,1.3086,1.33,6194300
22-03-2005,1.3357,1.3414,1.3071,1.3071,4297300
23-03-2005,1.3,1.3214,1.2929,1.3129,5862500
24-03-2005,1.3014,1.3171,1.2729,1.29,6776000
28-03-2005,1.3786,1.4186,1.3571,1.3971,12515300
29-03-2005,1.4043,1.4814,1.3929,1.4429,10157700
30-03-2005,1.4471,1.4729,1.4143,1.4643,5640600
31-03-2005,1.4657,1.55,1.4643,1.55,13665400
01-04-2005,1.5571,1.5714,1.5357,1.5471,10175200
04-04-2005,1.5657,1.5714,1.5157,1.5657,6232800
05-04-2005,1.5029,1.56,1.5014,1.5457,4613700
06-04-2005,1.5614,1.6,1.5429,1.5857,9058700
07-04-2005,1.5771,1.6243,1.5616,1.6057,7477400
08-04-2005,1.6257,1.7386,1.6257,1.7157,24285100
11-04-2005,1.72,1.72,1.6429,1.6986,7508200
12-04-2005,1.6729,1.7,1.6614,1.6671,4146800
13-04-2005,1.6757,1.7643,1.6714,1.73,9554300
14-04-2005,1.7471,1.7471,1.6829,1.7114,6137600
15-04-2005,1.7971,1.8571,1.65,1.67,14670600
18-04-2005,1.6843,1.6986,1.5543,1.6186,6647900
19-04-2005,1.6271,1.6671,1.5771,1.66,4629800
20-04-2005,1.6571,1.6643,1.5929,1.6357,5513200
21-04-2005,1.6786,1.7457,1.6429,1.7214,17012800
22-04-2005,1.6229,1.6329,1.5757,1.6,16993200
25-04-2005,1.6143,1.6429,1.5857,1.6429,8454600
26-04-2005,1.6357,1.6486,1.6129,1.6143,4221000
27-04-2005,1.61,1.6714,1.61,1.6429,4319000
28-04-2005,1.6157,1.6543,1.61,1.6443,3200400
29-04-2005,1.6529,1.6771,1.6357,1.65,4505200
02-05-2005,1.6471,1.6629,1.6171,1.6529,3019800
03-05-2005,1.6357,1.67,1.6357,1.6486,3217900
04-05-2005,1.66,1.6986,1.6286,1.6571,5705700
05-05-2005,1.6486,1.7143,1.6186,1.6343,6704600
06-05-2005,1.6357,1.6571,1.6286,1.6529,2864400
09-05-2005,1.6429,1.6786,1.6357,1.6586,2260300
10-05-2005,1.6457,1.67,1.6457,1.6543,4236400
11-05-2005,1.65,1.8586,1.6486,1.85,26442500
12-05-2005,1.8571,2.0557,1.7829,1.9757,44876300
13-05-2005,1.9557,2.0857,1.9443,2.04,22964200
16-05-2005,2.0686,2.1457,2.0443,2.1214,21014700
17-05-2005,2.0993,2.1,1.95,2.0686,16391900
18-05-2005,2.0657,2.2371,2.0443,2.2143,16340100
19-05-2005,2.7029,2.7529,2.2614,2.3043,149679600
20-05-2005,2.2943,2.3214,2.2071,2.2757,21408800
23-05-2005,2.2557,2.29,2.1957,2.2214,13318200
24-05-2005,2.2014,2.2129,2.0499,2.0629,21267400
25-05-2005,2.05,2.1186,2.0214,2.0771,12043500
26-05-2005,2.0929,2.0929,2.0371,2.0914,6179600
27-05-2005,2.1014,2.1271,2.07,2.0786,4358900
31-05-2005,2.0771,2.0914,1.9957,2.0414,5401900
01-06-2005,2.0286,2.1043,2.0286,2.0714,4250400
02-06-2005,2.0614,2.15,2.0543,2.1257,8666700
03-06-2005,2.15,2.1629,2.0786,2.0957,6981100
06-06-2005,2.0786,2.1857,2.0571,2.1743,6477100
07-06-2005,2.1857,2.24,2.1286,2.1429,7657300
08-06-2005,2.1514,2.1643,2.1071,2.1229,3701600
09-06-2005,2.15,2.2386,2.0929,2.2357,8043000
10-06-2005,2.2357,2.4414,2.2143,2.4157,19651800
13-06-2005,2.3857,2.4786,2.3143,2.38,13422500
14-06-2005,2.3586,2.4371,2.3429,2.4286,4904200
15-06-2005,2.4257,2.4529,2.3886,2.45,5144300
16-06-2005,2.4571,2.5486,2.4429,2.5186,15251600
17-06-2005,2.5214,2.5414,2.4429,2.46,7092400
20-06-2005,2.4286,2.46,2.4,2.4557,4256700
21-06-2005,2.44,2.4757,2.3571,2.38,3711400
22-06-2005,2.3271,2.4143,2.3114,2.36,6835500
23-06-2005,2.3529,2.3843,2.2843,2.2929,4981200
24-06-2005,2.2857,2.2971,2.1071,2.2529,16706900
27-06-2005,2.2643,2.3514,2.2357,2.2843,13901300
28-06-2005,2.33,2.37,2.2786,2.2971,6188700
29-06-2005,2.3,2.3686,2.2886,2.3343,4042500
30-06-2005,2.33,2.3829,2.3243,2.3443,4684400
01-07-2005,2.3429,2.3829,2.3357,2.3643,2040500
05-07-2005,2.3371,2.3629,2.2957,2.3486,3780700
06-07-2005,2.34,2.4343,2.3214,2.39,5493600
07-07-2005,2.3443,2.4657,2.32,2.4186,6248900
08-07-2005,2.4286,2.4314,2.3786,2.3871,4733400
11-07-2005,2.4014,2.5,2.4014,2.4586,7826000
12-07-2005,2.4571,2.4571,2.39,2.4071,3982300
13-07-2005,2.4214,2.4214,2.3386,2.3614,3332000
14-07-2005,2.37,2.3857,2.32,2.3571,5567100
15-07-2005,2.3471,2.3686,2.2857,2.3429,4952500
18-07-2005,2.2957,2.3557,2.2943,2.3257,4628400
19-07-2005,2.3343,2.3557,2.31,2.3414,3899000
20-07-2005,2.3157,2.4271,2.3143,2.4129,4430300
21-07-2005,2.4129,2.43,2.3643,2.3786,3916500
22-07-2005,2.3929,2.4214,2.3214,2.3429,4284000
25-07-2005,2.3429,2.5114,2.3429,2.4229,36587600
26-07-2005,2.86,2.9714,2.7143,2.7157,82747000
27-07-2005,2.7086,2.7971,2.6743,2.7886,13584900
28-07-2005,2.8,2.8029,2.6771,2.7014,11211900
29-07-2005,2.72,2.7471,2.6486,2.6514,6930000
01-08-2005,2.6514,2.7629,2.6071,2.7629,22481900
02-08-2005,2.7714,2.8486,2.7343,2.7957,17614800
03-08-2005,2.7957,3.0243,2.7957,2.9843,23382800
04-08-2005,3,3.0529,2.9329,2.9486,13837600
05-08-2005,2.95,3.0071,2.9343,2.9957,8036700
08-08-2005,3.0157,3.1314,3.0029,3.1086,15876700
09-08-2005,3.1571,3.2214,3.0371,3.0486,32575900
10-08-2005,3.0514,3.1071,2.9471,2.9814,10217200
11-08-2005,2.9857,3.0257,2.9214,3,6282500
12-08-2005,2.9643,3.2155,2.9629,3.1571,14764400
15-08-2005,3.1243,3.2086,3.1214,3.1386,7940800
16-08-2005,3.1486,3.2486,3.13,3.1771,11184600
17-08-2005,3.1857,3.22,3.1186,3.1271,4997300
18-08-2005,3.1129,3.1143,2.9857,3.0586,7648900
19-08-2005,3.0586,3.0743,3,3.0543,5347300
22-08-2005,3.07,3.1129,3.0214,3.0643,4164300
23-08-2005,3.0514,3.0714,2.9486,3.0143,3793300
24-08-2005,2.9929,3.1014,2.98,3.0057,5301800
25-08-2005,3.0086,3.0643,3.0043,3.0086,1989400
26-08-2005,2.99,3.0643,2.9871,3.0271,3801000
29-08-2005,3.0071,3.14,3,3.1343,5348700
30-08-2005,3.1314,3.1343,3.0314,3.0571,4365200
